rName	Reads	Index	rSubPool
3_TXNDC12_2	95	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PKLR_1	148	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ANXA6_2	125	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TSFM_3	288	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MARS2_2	142	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTX2_3	161	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_1	144	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NTHL1_2	251	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDSS1_2	175	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MAOB_4	MAOB	116	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ATP5I_3	ATP5I	104	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RNF5_4	RNF5	171	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_TXNDC12_4	TXNDC12	51	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MTERF2_4	MTERF2	135	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_NIPSNAP3A_2	NIPSNAP3A	38	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RPL35A_3	RPL35A	45	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_DDHD2_3	DDHD2	58	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SLC25A21_2	SLC25A21	68	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_KIF1B_1	KIF1B	71	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MRPS18C_2	MRPS18C	92	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_COX20_4	COX20	66	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RSPH9_1	RSPH9	36	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__16	_NONTARGET_	54	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_YARS2_4	YARS2	91	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_GCSH_3	GCSH	27	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_COX18_2	COX18	38	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_PARK7_4	PARK7	108	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_FAHD2A_4	FAHD2A	42	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SUCLA2_1	SUCLA2	85	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_YARS2_2	YARS2	46	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_NDUFA13_2	NDUFA13	83	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_DDHD2_2	DDHD2	129	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TFDP2_2	TFDP2	103	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_METTL17_3	METTL17	184	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ATG13_1	ATG13	34	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ABCB7_2	ABCB7	163	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_MRPL18_2	MRPL18	58	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_DDX28_3	DDX28	102	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_COX6B2_3	COX6B2	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_PDE2A_4	PDE2A	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_AK3_4	AK3	196	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_BPHL_4	BPHL	64	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MYO19_1	MYO19	101	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ABCG2_3	ABCG2	89	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RNASEL_3	RNASEL	68	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_DNAJC19_4	DNAJC19	25	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_MRPL18_3	MRPL18	62	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__6	_NONTARGET_	50	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SARDH_1	SARDH	50	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GFM2_1	GFM2	67	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_LETMD1_4	LETMD1	92	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_FAM162A_1	FAM162A	59	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MRPL42_1	MRPL42	77	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_LONP2_1	LONP2	66	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SYNJ2BP_2	SYNJ2BP	75	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ETHE1_1	ETHE1	64	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLUD2_3	GLUD2	149	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_MFN2_1	MFN2	115	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_LMAN1_4	LMAN1	85	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLRX5_3	GLRX5	106	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_LIAS_3	LIAS	79	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_BNIP3L_1	BNIP3L	156	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RDH13_4	RDH13	72	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_VPS11_4	VPS11	136	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TFDP2_1	TFDP2	135	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_SDHA_1	SDHA	55	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_NFE2L2_4	NFE2L2	62	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_LACE1_1	LACE1	70	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_NADK2_3	NADK2	133	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SYNJ2BP_3	SYNJ2BP	77	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_ARMCX1_4	ARMCX1	116	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SDHAF1_1	SDHAF1	25	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_GPX1_1	GPX1	36	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_LARS2_3	LARS2	52	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TOMM70A_3	TOMM70A	75	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TOMM70A_2	TOMM70A	180	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_CMPK2_3	CMPK2	60	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TOMM70A_4	TOMM70A	145	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_PDP1_1	PDP1	119	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_GPX4_2	GPX4	58	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_LETMD1_1	LETMD1	128	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ABCG2_2	ABCG2	50	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_OXR1_4	OXR1	84	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_FASTK_4	FASTK	68	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_TMEM126A_1	TMEM126A	75	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TIMM10B_3	TIMM10B	87	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_ARMCX1_1	ARMCX1	107	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_BDH1_4	BDH1	80	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MGST1_4	MGST1	103	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MLH1_1	MLH1	129	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MMAA_2	MMAA	92	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_CALM1_1	CALM1	195	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_HSD17B4_3	HSD17B4	84	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_THNSL1_1	THNSL1	82	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_PDF_3	PDF	62	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MRPS18C_3	MRPS18C	99	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_HSD17B4_4	HSD17B4	51	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_SARM1_2	SARM1	96	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MYO19_3	MYO19	49	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLUD1_4	GLUD1	40	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ALDH7A1_4	ALDH7A1	88	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_LETM1_3	LETM1	121	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_COQ3_4	COQ3	69	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_OPA1_3	OPA1	128	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_NDUFA3_1	NDUFA3	86	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ATP5I_4	ATP5I	56	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_UQCR10_1	UQCR10	85	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_SLC27A1_4	SLC27A1	38	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_METTL8_1	METTL8	150	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_APOA1BP_2	APOA1BP	40	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_MFN2_4	MFN2	172	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ACSL4_4	ACSL4	132	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_LIAS_4	LIAS	52	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_COX20_1	COX20	88	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_MRPS2_3	MRPS2	43	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_MRPL33_1	MRPL33	109	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ATG13_4	ATG13	133	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MGST1_2	MGST1	94	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MRPL27_1	MRPL27	95	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RPL35A_1	RPL35A	87	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ACOT9_3	ACOT9	64	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_DNAJC19_3	DNAJC19	141	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_SLC27A1_1	SLC27A1	67	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ACOT9_2	ACOT9	63	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLUD1_3	GLUD1	142	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLS_1	GLS	146	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MRPS18C_4	MRPS18C	155	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MMAA_1	MMAA	73	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_C8ORF82_3	C8ORF82	108	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLUD2_4	GLUD2	60	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_DHCR24_3	DHCR24	51	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_CPT1C_4	CPT1C	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_C2ORF69_4	C2ORF69	55	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GOT1_1	GOT1	135	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MTX2_4	MTX2	216	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_PDE2A_1	PDE2A	58	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ABCB7_1	ABCB7	56	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_SOD1_2	SOD1	63	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GFM2_3	GFM2	94	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TOMM70A_1	TOMM70A	55	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MMACHC_3	MMACHC	78	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_NFE2L2_3	NFE2L2	88	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_LETM1_1	LETM1	47	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_MFN2_3	MFN2	93	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_PPOX_2	PPOX	97	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RSAD2_1	RSAD2	69	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__2	_NONTARGET_	84	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SHMT1_2	SHMT1	39	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MTX2_2	MTX2	69	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_CECR5_2	CECR5	78	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_STOML2_1	STOML2	92	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_MTERF3_1	MTERF3	51	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ATP10D_1	ATP10D	63	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GBAS_2	GBAS	67	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_MTIF3_4	MTIF3	138	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MRPL27_3	MRPL27	71	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_NFE2L2_1	NFE2L2	49	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_HSPB7_4	HSPB7	81	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TFDP2_4	TFDP2	102	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ACOX1_4	ACOX1	78	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MMAA_3	MMAA	178	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ECI2_2	ECI2	158	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2__NONTARGET__4	_NONTARGET_	71	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ATP10D_3	ATP10D	96	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__4	_NONTARGET_	91	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ABHD11_2	ABHD11	47	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_MRPS14_1	MRPS14	35	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_HSPB7_3	HSPB7	126	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_OPA1_2	OPA1	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TFAM_2	TFAM	155	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ABCD2_3	ABCD2	31	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_HSPB7_2	HSPB7	146	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__7	_NONTARGET_	41	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ACSL4_2	ACSL4	68	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SLIRP_2	SLIRP	81	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ALAS1_4	ALAS1	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_GCSH_4	GCSH	17	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_LONP2_2	LONP2	75	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_SDSL_1	SDSL	88	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ACOX1_2	ACOX1	54	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_TMEM126A_2	TMEM126A	69	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_AK4_2	AK4	105	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_ABCD1_3	ABCD1	141	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RSAD2_2	RSAD2	58	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ECI2_1	ECI2	59	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_UBE2D3_2	UBE2D3	93	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_NT5M_4	NT5M	126	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_CMPK2_1	CMPK2	64	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLS_3	GLS	76	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_COX7A2L_3	COX7A2L	59	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_SOD1_3	SOD1	72	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ALAS1_2	ALAS1	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_DHCR24_2	DHCR24	36	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_UCP3_1	UCP3	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__3	_NONTARGET_	54	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3__NONTARGET__8	_NONTARGET_	90	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ATIC_1	ATIC	32	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_FAHD2A_2	FAHD2A	59	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_ARMCX1_2	ARMCX1	172	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ACO1_1	ACO1	70	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_TSTD3_3	TSTD3	86	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_CALM1_2	CALM1	131	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_EYA2_4	EYA2	31	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__8	_NONTARGET_	58	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_MRPL11_3	MRPL11	65	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MRPL42_2	MRPL42	147	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_NADK2_2	NADK2	43	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_CROT_2	CROT	101	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_DDX28_2	DDX28	96	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_SDHA_4	SDHA	54	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_MRPS2_4	MRPS2	53	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SHMT1_3	SHMT1	57	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_CROT_4	CROT	103	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__10	_NONTARGET_	42	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_MRPL35_3	MRPL35	115	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_HADHB_2	HADHB	34	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GOT1_3	GOT1	94	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_VPS11_3	VPS11	136	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_PKLR_2	PKLR	148	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_EARS2_4	EARS2	46	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_C2ORF69_2	C2ORF69	32	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_SLC25A46_4	SLC25A46	24	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ANXA6_3	ANXA6	84	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_PARK7_2	PARK7	70	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_UQCR10_4	UQCR10	45	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MGST1_3	MGST1	92	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ATP10D_4	ATP10D	96	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_CECR5_3	CECR5	49	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__15	_NONTARGET_	252	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_SCO1_1	SCO1	40	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ATP5L_3	ATP5L	40	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_HADHB_3	HADHB	64	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RNF5_2	RNF5	108	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_SDHAF2_4	SDHAF2	42	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_YARS2_3	YARS2	44	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_TBRG4_4	TBRG4	62	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ISCA2_2	ISCA2	37	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4__NONTARGET__11	_NONTARGET_	55	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_LIAS_2	LIAS	41	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_SOD1_4	SOD1	59	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ATP10D_2	ATP10D	71	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_BPHL_2	BPHL	148	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RSPH9_3	RSPH9	50	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_TMEM177_2	TMEM177	8	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ALDH3A2_4	ALDH3A2	49	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLUD2_1	GLUD2	83	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_DHCR24_1	DHCR24	36	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_IDH1_4	IDH1	69	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_MTIF3_3	MTIF3	53	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MPC2_4	MPC2	86	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_GLS_4	GLS	89	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_ATP5L_4	ATP5L	81	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_PDF_4	PDF	48	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_HSDL2_4	HSDL2	42	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_MCCC1_3	MCCC1	62	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_PDE2A_3	PDE2A	62	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_CPT1C_2	CPT1C	74	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SUCLA2_3	SUCLA2	91	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ACSL4_1	ACSL4	94	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_COX7A2L_2	COX7A2L	33	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_LACE1_3	LACE1	83	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_TMEM177_3	TMEM177	66	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_MRPL35_1	MRPL35	122	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_TIGAR_3	TIGAR	53	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_SDHA_2	SDHA	61	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_GTPBP10_4	GTPBP10	135	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_NADK2_4	NADK2	59	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_AURKAIP1_3	AURKAIP1	44	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ALDH3A2_3	ALDH3A2	62	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_TSTD3_2	TSTD3	78	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_MTERF3_4	MTERF3	37	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_AK3_3	AK3	44	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_RPL35A_4	RPL35A	93	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_TMEM126A_4	TMEM126A	64	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_KIF1B_4	KIF1B	68	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_MTERF3_2	MTERF3	72	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
1_ABCD1_4	ABCD1	108	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_CARS2_2	CARS2	56	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_SLC25A32_3	SLC25A32	109	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ATG13_2	ATG13	54	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
2_ABHD11_1	ABHD11	37	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_FASTKD2_2	FASTKD2	50	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_LONP2_4	LONP2	76	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_CARS2_1	CARS2	63	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_BID_1	BID	91	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_MTX2_1	MTX2	90	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
4_ABCB7_4	ABCB7	100	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
3_DHCR24_4	DHCR24	58	Bulk Sample MSPH1-4 WT NegDox 2022-12-1	1
